package	required_version	number	do_install	do_load	installed	loaded	source	githubdir	required	SambaR_function	analysis_type
inbreedR	latest	67	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	calcdistance()	Heterozygosity_fitness_correlations
LEA	latest	57	TRUE	TRUE	TRUE	TRUE	Bioconductor	NA	recommended	findstructure()	admixture_analysis
mapplots	latest	36	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	additional_analysis	geographical_maps
MASS	latest	31	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	findstructure()	MDS
migest	latest	25	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	additional_analysis	circosplots_geneflow
mnormt	latest	41	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	additional_analysis	RDA
OutFLANK	latest	62	TRUE	TRUE	TRUE	TRUE	github	whitlock/OutFLANK	optional	selectionanalyses()	OutFLANK
phangorn	latest	46	TRUE	TRUE	TRUE	TRUE	CRAN	NA	recommended	findstructure()	NJtree_plot
plot3D	latest	18	TRUE	TRUE	TRUE	TRUE	CRAN	NA	essential	all_functions	plotting
plotly	latest	50	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	selectionanalyses()	pcadapt
plyr	latest	26	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	additional_analysis	circosplots_geneflow
PopGenome	latest	39	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	selectionanalyses()	Venn_diagrams
poppr	latest	32	TRUE	TRUE	TRUE	TRUE	CRAN	NA	recommended	findstructure()	Hamming_distance
processx	latest	20	TRUE	TRUE	TRUE	TRUE	CRAN	NA	essential	all_functions	sliding_window_analyses
psych	latest	42	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	additional_analysis	RDA
qvalue	latest	58	TRUE	TRUE	TRUE	TRUE	Bioconductor	NA	optional	selectionanalyses()	qvalue_for_OutFLANK
raster	latest	45	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	additional_analysis	geographical_maps_TESS
RColorBrewer	latest	24	TRUE	TRUE	TRUE	TRUE	CRAN	NA	essential	all_functions	plotting
RcppEigen	latest	48	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	additional_analysis	geographical_maps_TESS
robust	latest	51	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	selectionanalyses()	pcadapt
rworldmap	latest	35	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	additional_analysis	geographical_maps
scales	latest	11	TRUE	TRUE	TRUE	TRUE	CRAN	NA	essential	all_functions	data_management
scatterplot3d	latest	17	TRUE	TRUE	TRUE	TRUE	CRAN	NA	essential	all_functions	data_management
seqinr	latest	47	TRUE	TRUE	TRUE	TRUE	CRAN	NA	TBC	TBC	TBC
SNPRelate	latest	56	TRUE	TRUE	TRUE	TRUE	Bioconductor	NA	recommended	findstructure()	PCA
sp	latest	43	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	additional_analysis	geographical_maps_TESS
StAMPP	latest	16	TRUE	TRUE	TRUE	TRUE	CRAN	NA	essential	all_functions	data_management
tess3r	latest	63	TRUE	TRUE	TRUE	TRUE	github	bcm-uga/TESS3_encho_sen	optional	additional_analysis	geographical_maps_TESS
vcfR	latest	52	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	selectionanalyses()	pcadapt
VennDiagram	latest	37	TRUE	TRUE	TRUE	TRUE	CRAN	NA	optional	selectionanalyses()	Venn_diagrams
vioplot	latest	22	TRUE	TRUE	TRUE	TRUE	CRAN	NA	to_be_removed	to_be_removed	to_be_removed
XML	latest	60	TRUE	TRUE	TRUE	TRUE	CRAN	NA	recommended	calcdiversity();calcdistance()	karyoplots
zoo	latest	19	TRUE	TRUE	TRUE	TRUE	CRAN	NA	essential	all_functions	plotting
